,ds,na,cb_type,lr,algo,loss,sz,nf,rawloss
60,mslr1,10,dr,learning_rate:0.01,epsilon:0.05:dr,0.889813,,,0.889813
61,mslr1,10,ips,learning_rate:0.01,epsilon:0.05:ips,0.886375,,,0.886375
62,mslr1,10,mtr,learning_rate:0.01,epsilon:0.05:mtr,0.881625,,,0.881625
63,mslr1,10,dr,learning_rate:0.03,epsilon:0.05:dr,0.882563,,,0.882563
64,mslr1,10,ips,learning_rate:0.03,epsilon:0.05:ips,0.880375,,,0.880375
65,mslr1,10,mtr,learning_rate:0.03,epsilon:0.05:mtr,0.861313,,,0.861313
66,mslr1,10,dr,learning_rate:0.1,epsilon:0.05:dr,0.873188,,,0.873188
67,mslr1,10,ips,learning_rate:0.1,epsilon:0.05:ips,0.854375,,,0.854375
68,mslr1,10,mtr,learning_rate:0.1,epsilon:0.05:mtr,0.839187,,,0.839187
69,mslr1,10,dr,learning_rate:0.3,epsilon:0.05:dr,0.842562,,,0.842562
70,mslr1,10,ips,learning_rate:0.3,epsilon:0.05:ips,0.864875,,,0.864875
71,mslr1,10,mtr,learning_rate:0.3,epsilon:0.05:mtr,0.82675,,,0.82675
72,mslr1,10,dr,learning_rate:1.0,epsilon:0.05:dr,0.841625,,,0.841625
73,mslr1,10,ips,learning_rate:1.0,epsilon:0.05:ips,0.850187,,,0.850187
74,mslr1,10,mtr,learning_rate:1.0,epsilon:0.05:mtr,0.84075,,,0.84075
75,mslr1,10,dr,learning_rate:3.0,epsilon:0.05:dr,0.850562,,,0.850562
76,mslr1,10,ips,learning_rate:3.0,epsilon:0.05:ips,0.839938,,,0.839938
77,mslr1,10,mtr,learning_rate:3.0,epsilon:0.05:mtr,0.822187,,,0.822187
78,mslr1,10,dr,learning_rate:10.0,epsilon:0.05:dr,0.847875,,,0.847875
79,mslr1,10,ips,learning_rate:10.0,epsilon:0.05:ips,0.831625,,,0.831625
80,mslr1,10,mtr,learning_rate:10.0,epsilon:0.05:mtr,0.830063,,,0.830063
81,mslr1,10,dr,learning_rate:0.001,epsilon:0.1:dr,0.890437,,,0.890437
82,mslr1,10,ips,learning_rate:0.001,epsilon:0.1:ips,0.89075,,,0.89075
83,mslr1,10,mtr,learning_rate:0.001,epsilon:0.1:mtr,0.889625,,,0.889625
84,mslr1,10,dr,learning_rate:0.003,epsilon:0.1:dr,0.890312,,,0.890312
85,mslr1,10,ips,learning_rate:0.003,epsilon:0.1:ips,0.889563,,,0.889563
86,mslr1,10,mtr,learning_rate:0.003,epsilon:0.1:mtr,0.888813,,,0.888813
87,mslr1,10,dr,learning_rate:0.01,epsilon:0.1:dr,0.88725,,,0.88725
88,mslr1,10,ips,learning_rate:0.01,epsilon:0.1:ips,0.887,,,0.887
89,mslr1,10,mtr,learning_rate:0.01,epsilon:0.1:mtr,0.883188,,,0.883188
90,mslr1,10,dr,learning_rate:0.03,epsilon:0.1:dr,0.879687,,,0.879687
91,mslr1,10,ips,learning_rate:0.03,epsilon:0.1:ips,0.886687,,,0.886687
92,mslr1,10,mtr,learning_rate:0.03,epsilon:0.1:mtr,0.857437,,,0.857437
93,mslr1,10,dr,learning_rate:0.1,epsilon:0.1:dr,0.858,,,0.858
94,mslr1,10,ips,learning_rate:0.1,epsilon:0.1:ips,0.876437,,,0.876437
95,mslr1,10,mtr,learning_rate:0.1,epsilon:0.1:mtr,0.843187,,,0.843187
96,mslr1,10,dr,learning_rate:0.3,epsilon:0.1:dr,0.840063,,,0.840063
97,mslr1,10,ips,learning_rate:0.3,epsilon:0.1:ips,0.867125,,,0.867125
98,mslr1,10,mtr,learning_rate:0.3,epsilon:0.1:mtr,0.831125,,,0.831125
99,mslr1,10,dr,learning_rate:1.0,epsilon:0.1:dr,0.833125,,,0.833125
100,mslr1,10,ips,learning_rate:1.0,epsilon:0.1:ips,0.8595,,,0.8595
101,mslr1,10,mtr,learning_rate:1.0,epsilon:0.1:mtr,0.829937,,,0.829937
102,mslr1,10,dr,learning_rate:3.0,epsilon:0.1:dr,0.841875,,,0.841875
103,mslr1,10,ips,learning_rate:3.0,epsilon:0.1:ips,0.843437,,,0.843437
104,mslr1,10,mtr,learning_rate:3.0,epsilon:0.1:mtr,0.825812,,,0.825812
105,mslr1,10,dr,learning_rate:10.0,epsilon:0.1:dr,0.844938,,,0.844938
106,mslr1,10,ips,learning_rate:10.0,epsilon:0.1:ips,0.840313,,,0.840313
107,mslr1,10,mtr,learning_rate:10.0,epsilon:0.1:mtr,0.822812,,,0.822812
108,mslr1,10,dr,learning_rate:0.001,bag:2:dr,0.89275,,,0.89275
109,mslr1,10,ips,learning_rate:0.001,bag:2:ips,0.863812,,,0.863812
110,mslr1,10,mtr,learning_rate:0.001,bag:2:mtr,0.892375,,,0.892375
111,mslr1,10,dr,learning_rate:0.003,bag:2:dr,0.892625,,,0.892625
112,mslr1,10,ips,learning_rate:0.003,bag:2:ips,0.853375,,,0.853375
113,mslr1,10,mtr,learning_rate:0.003,bag:2:mtr,0.893625,,,0.893625
114,mslr1,10,dr,learning_rate:0.01,bag:2:dr,0.88925,,,0.88925
115,mslr1,10,ips,learning_rate:0.01,bag:2:ips,0.852938,,,0.852938
116,mslr1,10,mtr,learning_rate:0.01,bag:2:mtr,0.89275,,,0.89275
117,mslr1,10,dr,learning_rate:0.03,bag:2:dr,0.87075,,,0.87075
118,mslr1,10,ips,learning_rate:0.03,bag:2:ips,0.85175,,,0.85175
119,mslr1,10,mtr,learning_rate:0.03,bag:2:mtr,0.864062,,,0.864062
120,mslr1,10,dr,learning_rate:0.1,bag:2:dr,0.840375,,,0.840375
121,mslr1,10,ips,learning_rate:0.1,bag:2:ips,0.851063,,,0.851063
122,mslr1,10,mtr,learning_rate:0.1,bag:2:mtr,0.846063,,,0.846063
123,mslr1,10,dr,learning_rate:0.3,bag:2:dr,0.82925,,,0.82925
124,mslr1,10,ips,learning_rate:0.3,bag:2:ips,0.853437,,,0.853437
125,mslr1,10,mtr,learning_rate:0.3,bag:2:mtr,0.82725,,,0.82725
126,mslr1,10,dr,learning_rate:1.0,bag:2:dr,0.832438,,,0.832438
127,mslr1,10,ips,learning_rate:1.0,bag:2:ips,0.8495,,,0.8495
128,mslr1,10,mtr,learning_rate:1.0,bag:2:mtr,0.827812,,,0.827812
129,mslr1,10,dr,learning_rate:3.0,bag:2:dr,0.831313,,,0.831313
130,mslr1,10,ips,learning_rate:3.0,bag:2:ips,0.848875,,,0.848875
131,mslr1,10,mtr,learning_rate:3.0,bag:2:mtr,0.827063,,,0.827063
132,mslr1,10,dr,learning_rate:10.0,bag:2:dr,0.829063,,,0.829063
133,mslr1,10,ips,learning_rate:10.0,bag:2:ips,0.853062,,,0.853062
134,mslr1,10,mtr,learning_rate:10.0,bag:2:mtr,0.835187,,,0.835187
135,mslr1,10,dr,learning_rate:0.001,bag:4:dr,0.893188,,,0.893188
136,mslr1,10,ips,learning_rate:0.001,bag:4:ips,0.87675,,,0.87675
137,mslr1,10,mtr,learning_rate:0.001,bag:4:mtr,0.891062,,,0.891062
138,mslr1,10,dr,learning_rate:0.003,bag:4:dr,0.892375,,,0.892375
139,mslr1,10,ips,learning_rate:0.003,bag:4:ips,0.867938,,,0.867938
140,mslr1,10,mtr,learning_rate:0.003,bag:4:mtr,0.893,,,0.893
141,mslr1,10,dr,learning_rate:0.01,bag:4:dr,0.890938,,,0.890938
142,mslr1,10,ips,learning_rate:0.01,bag:4:ips,0.860563,,,0.860563
143,mslr1,10,mtr,learning_rate:0.01,bag:4:mtr,0.891813,,,0.891813
144,mslr1,10,dr,learning_rate:0.03,bag:4:dr,0.87625,,,0.87625
145,mslr1,10,ips,learning_rate:0.03,bag:4:ips,0.853062,,,0.853062
146,mslr1,10,mtr,learning_rate:0.03,bag:4:mtr,0.872625,,,0.872625
147,mslr1,10,dr,learning_rate:0.1,bag:4:dr,0.865625,,,0.865625
148,mslr1,10,ips,learning_rate:0.1,bag:4:ips,0.851125,,,0.851125
149,mslr1,10,mtr,learning_rate:0.1,bag:4:mtr,0.8415,,,0.8415
150,mslr1,10,dr,learning_rate:0.3,bag:4:dr,0.8435,,,0.8435
151,mslr1,10,ips,learning_rate:0.3,bag:4:ips,0.855812,,,0.855812
152,mslr1,10,mtr,learning_rate:0.3,bag:4:mtr,0.823187,,,0.823187
153,mslr1,10,dr,learning_rate:1.0,bag:4:dr,0.83,,,0.83
154,mslr1,10,ips,learning_rate:1.0,bag:4:ips,0.8525,,,0.8525
155,mslr1,10,mtr,learning_rate:1.0,bag:4:mtr,0.809375,,,0.809375
156,mslr1,10,dr,learning_rate:3.0,bag:4:dr,0.822812,,,0.822812
157,mslr1,10,ips,learning_rate:3.0,bag:4:ips,0.84725,,,0.84725
158,mslr1,10,mtr,learning_rate:3.0,bag:4:mtr,0.822125,,,0.822125
159,mslr1,10,dr,learning_rate:10.0,bag:4:dr,0.830187,,,0.830187
160,mslr1,10,ips,learning_rate:10.0,bag:4:ips,0.848375,,,0.848375
161,mslr1,10,mtr,learning_rate:10.0,bag:4:mtr,0.820313,,,0.820313
162,mslr1,10,dr,learning_rate:0.001,bag:8:dr,0.891938,,,0.891938
163,mslr1,10,ips,learning_rate:0.001,bag:8:ips,0.87975,,,0.87975
164,mslr1,10,mtr,learning_rate:0.001,bag:8:mtr,0.892062,,,0.892062
165,mslr1,10,dr,learning_rate:0.003,bag:8:dr,0.8915,,,0.8915
166,mslr1,10,ips,learning_rate:0.003,bag:8:ips,0.869687,,,0.869687
167,mslr1,10,mtr,learning_rate:0.003,bag:8:mtr,0.893188,,,0.893188
168,mslr1,10,dr,learning_rate:0.01,bag:8:dr,0.887437,,,0.887437
169,mslr1,10,ips,learning_rate:0.01,bag:8:ips,0.864313,,,0.864313
170,mslr1,10,mtr,learning_rate:0.01,bag:8:mtr,0.892125,,,0.892125
171,mslr1,10,dr,learning_rate:0.03,bag:8:dr,0.891938,,,0.891938
172,mslr1,10,ips,learning_rate:0.03,bag:8:ips,0.859563,,,0.859563
173,mslr1,10,mtr,learning_rate:0.03,bag:8:mtr,0.865938,,,0.865938
174,mslr1,10,dr,learning_rate:0.1,bag:8:dr,0.878313,,,0.878313
175,mslr1,10,ips,learning_rate:0.1,bag:8:ips,0.854,,,0.854
176,mslr1,10,mtr,learning_rate:0.1,bag:8:mtr,0.830313,,,0.830313
177,mslr1,10,dr,learning_rate:0.3,bag:8:dr,0.858187,,,0.858187
178,mslr1,10,ips,learning_rate:0.3,bag:8:ips,0.844812,,,0.844812
179,mslr1,10,mtr,learning_rate:0.3,bag:8:mtr,0.825625,,,0.825625
180,mslr1,10,dr,learning_rate:1.0,bag:8:dr,0.835125,,,0.835125
181,mslr1,10,ips,learning_rate:1.0,bag:8:ips,0.846437,,,0.846437
182,mslr1,10,mtr,learning_rate:1.0,bag:8:mtr,0.815063,,,0.815063
183,mslr1,10,dr,learning_rate:3.0,bag:8:dr,0.833875,,,0.833875
184,mslr1,10,ips,learning_rate:3.0,bag:8:ips,0.848063,,,0.848063
185,mslr1,10,mtr,learning_rate:3.0,bag:8:mtr,0.813875,,,0.813875
186,mslr1,10,dr,learning_rate:10.0,bag:8:dr,0.842125,,,0.842125
187,mslr1,10,ips,learning_rate:10.0,bag:8:ips,0.843063,,,0.843063
188,mslr1,10,mtr,learning_rate:10.0,bag:8:mtr,0.815813,,,0.815813
189,mslr1,10,dr,learning_rate:0.001,bag:16:dr,0.893375,,,0.893375
190,mslr1,10,ips,learning_rate:0.001,bag:16:ips,0.881812,,,0.881812
191,mslr1,10,mtr,learning_rate:0.001,bag:16:mtr,0.8915,,,0.8915
192,mslr1,10,dr,learning_rate:0.003,bag:16:dr,0.892437,,,0.892437
193,mslr1,10,ips,learning_rate:0.003,bag:16:ips,0.876313,,,0.876313
194,mslr1,10,mtr,learning_rate:0.003,bag:16:mtr,0.89275,,,0.89275
195,mslr1,10,dr,learning_rate:0.01,bag:16:dr,0.892437,,,0.892437
196,mslr1,10,ips,learning_rate:0.01,bag:16:ips,0.869625,,,0.869625
197,mslr1,10,mtr,learning_rate:0.01,bag:16:mtr,0.890938,,,0.890938
198,mslr1,10,dr,learning_rate:0.03,bag:16:dr,0.885625,,,0.885625
199,mslr1,10,ips,learning_rate:0.03,bag:16:ips,0.868625,,,0.868625
200,mslr1,10,mtr,learning_rate:0.03,bag:16:mtr,0.865938,,,0.865938
201,mslr1,10,dr,learning_rate:0.1,bag:16:dr,0.876938,,,0.876938
202,mslr1,10,ips,learning_rate:0.1,bag:16:ips,0.858313,,,0.858313
203,mslr1,10,mtr,learning_rate:0.1,bag:16:mtr,0.835938,,,0.835938
204,mslr1,10,dr,learning_rate:0.3,bag:16:dr,0.8485,,,0.8485
205,mslr1,10,ips,learning_rate:0.3,bag:16:ips,0.851063,,,0.851063
206,mslr1,10,mtr,learning_rate:0.3,bag:16:mtr,0.820812,,,0.820812
207,mslr1,10,dr,learning_rate:1.0,bag:16:dr,0.842938,,,0.842938
208,mslr1,10,ips,learning_rate:1.0,bag:16:ips,0.845562,,,0.845562
209,mslr1,10,mtr,learning_rate:1.0,bag:16:mtr,0.813063,,,0.813063
210,mslr1,10,dr,learning_rate:3.0,bag:16:dr,0.83875,,,0.83875
211,mslr1,10,ips,learning_rate:3.0,bag:16:ips,0.846063,,,0.846063
212,mslr1,10,mtr,learning_rate:3.0,bag:16:mtr,0.815,,,0.815
213,mslr1,10,dr,learning_rate:10.0,bag:16:dr,0.841375,,,0.841375
214,mslr1,10,ips,learning_rate:10.0,bag:16:ips,0.842,,,0.842
215,mslr1,10,mtr,learning_rate:10.0,bag:16:mtr,0.828812,,,0.828812
216,mslr1,10,dr,learning_rate:0.001,bag:2:greedify:dr,0.893375,,,0.893375
217,mslr1,10,ips,learning_rate:0.001,bag:2:greedify:ips,0.873,,,0.873
218,mslr1,10,mtr,learning_rate:0.001,bag:2:greedify:mtr,0.893375,,,0.893375
219,mslr1,10,dr,learning_rate:0.003,bag:2:greedify:dr,0.8905,,,0.8905
220,mslr1,10,ips,learning_rate:0.003,bag:2:greedify:ips,0.852875,,,0.852875
221,mslr1,10,mtr,learning_rate:0.003,bag:2:greedify:mtr,0.892312,,,0.892312
222,mslr1,10,dr,learning_rate:0.01,bag:2:greedify:dr,0.891563,,,0.891563
223,mslr1,10,ips,learning_rate:0.01,bag:2:greedify:ips,0.85025,,,0.85025
224,mslr1,10,mtr,learning_rate:0.01,bag:2:greedify:mtr,0.89125,,,0.89125
225,mslr1,10,dr,learning_rate:0.03,bag:2:greedify:dr,0.883312,,,0.883312
226,mslr1,10,ips,learning_rate:0.03,bag:2:greedify:ips,0.849375,,,0.849375
227,mslr1,10,mtr,learning_rate:0.03,bag:2:greedify:mtr,0.873062,,,0.873062
228,mslr1,10,dr,learning_rate:0.1,bag:2:greedify:dr,0.89,,,0.89
229,mslr1,10,ips,learning_rate:0.1,bag:2:greedify:ips,0.848812,,,0.848812
230,mslr1,10,mtr,learning_rate:0.1,bag:2:greedify:mtr,0.840187,,,0.840187
231,mslr1,10,dr,learning_rate:0.3,bag:2:greedify:dr,0.854125,,,0.854125
232,mslr1,10,ips,learning_rate:0.3,bag:2:greedify:ips,0.8515,,,0.8515
233,mslr1,10,mtr,learning_rate:0.3,bag:2:greedify:mtr,0.828063,,,0.828063
234,mslr1,10,dr,learning_rate:1.0,bag:2:greedify:dr,0.843,,,0.843
235,mslr1,10,ips,learning_rate:1.0,bag:2:greedify:ips,0.84875,,,0.84875
236,mslr1,10,mtr,learning_rate:1.0,bag:2:greedify:mtr,0.818562,,,0.818562
237,mslr1,10,dr,learning_rate:3.0,bag:2:greedify:dr,0.865688,,,0.865688
238,mslr1,10,ips,learning_rate:3.0,bag:2:greedify:ips,0.848688,,,0.848688
239,mslr1,10,mtr,learning_rate:3.0,bag:2:greedify:mtr,0.819688,,,0.819688
240,mslr1,10,dr,learning_rate:10.0,bag:2:greedify:dr,0.862563,,,0.862563
241,mslr1,10,ips,learning_rate:10.0,bag:2:greedify:ips,0.848688,,,0.848688
242,mslr1,10,mtr,learning_rate:10.0,bag:2:greedify:mtr,0.827438,,,0.827438
243,mslr1,10,dr,learning_rate:0.001,bag:4:greedify:dr,0.893563,,,0.893563
244,mslr1,10,ips,learning_rate:0.001,bag:4:greedify:ips,0.877375,,,0.877375
245,mslr1,10,mtr,learning_rate:0.001,bag:4:greedify:mtr,0.89225,,,0.89225
246,mslr1,10,dr,learning_rate:0.003,bag:4:greedify:dr,0.893188,,,0.893188
247,mslr1,10,ips,learning_rate:0.003,bag:4:greedify:ips,0.863313,,,0.863313
