ds,na,cb_type,lr,algo,loss,sz,nf,rawloss
loan1,2,dr,learning_rate:0.003,epsilon:0.05:dr,0.182876,,,0.182876
loan1,2,ips,learning_rate:0.003,epsilon:0.05:ips,0.181836,,,0.181836
loan1,2,mtr,learning_rate:0.003,epsilon:0.05:mtr,0.180536,,,0.180536
loan1,2,dr,learning_rate:0.01,epsilon:0.05:dr,0.180556,,,0.180556
loan1,2,ips,learning_rate:0.01,epsilon:0.05:ips,0.180596,,,0.180596
loan1,2,mtr,learning_rate:0.01,epsilon:0.05:mtr,0.180496,,,0.180496
loan1,2,dr,learning_rate:0.03,epsilon:0.05:dr,0.180456,,,0.180456
loan1,2,ips,learning_rate:0.03,epsilon:0.05:ips,0.180596,,,0.180596
loan1,2,mtr,learning_rate:0.03,epsilon:0.05:mtr,0.180476,,,0.180476
loan1,2,dr,learning_rate:0.1,epsilon:0.05:dr,0.180476,,,0.180476
loan1,2,ips,learning_rate:0.1,epsilon:0.05:ips,0.180596,,,0.180596
loan1,2,mtr,learning_rate:0.1,epsilon:0.05:mtr,0.176556,,,0.176556
loan1,2,dr,learning_rate:0.3,epsilon:0.05:dr,0.157097,,,0.157097
loan1,2,ips,learning_rate:0.3,epsilon:0.05:ips,0.172217,,,0.172217
loan1,2,mtr,learning_rate:0.3,epsilon:0.05:mtr,0.147037,,,0.147037
loan1,2,dr,learning_rate:1.0,epsilon:0.05:dr,0.138717,,,0.138717
loan1,2,ips,learning_rate:1.0,epsilon:0.05:ips,0.155217,,,0.155217
loan1,2,mtr,learning_rate:1.0,epsilon:0.05:mtr,0.136977,,,0.136977
loan1,2,dr,learning_rate:3.0,epsilon:0.05:dr,0.145977,,,0.145977
loan1,2,ips,learning_rate:3.0,epsilon:0.05:ips,0.169677,,,0.169677
loan1,2,mtr,learning_rate:3.0,epsilon:0.05:mtr,0.132557,,,0.132557
loan1,2,dr,learning_rate:10.0,epsilon:0.05:dr,0.166357,,,0.166357
loan1,2,ips,learning_rate:10.0,epsilon:0.05:ips,0.193336,,,0.193336
loan1,2,mtr,learning_rate:10.0,epsilon:0.05:mtr,0.133697,,,0.133697
loan1,2,dr,learning_rate:0.001,epsilon:0.1:dr,0.200236,,,0.200236
loan1,2,ips,learning_rate:0.001,epsilon:0.1:ips,0.200876,,,0.200876
loan1,2,mtr,learning_rate:0.001,epsilon:0.1:mtr,0.198296,,,0.198296
loan1,2,dr,learning_rate:0.003,epsilon:0.1:dr,0.198356,,,0.198356
loan1,2,ips,learning_rate:0.003,epsilon:0.1:ips,0.199596,,,0.199596
loan1,2,mtr,learning_rate:0.003,epsilon:0.1:mtr,0.198316,,,0.198316
loan1,2,dr,learning_rate:0.01,epsilon:0.1:dr,0.198316,,,0.198316
loan1,2,ips,learning_rate:0.01,epsilon:0.1:ips,0.198336,,,0.198336
loan1,2,mtr,learning_rate:0.01,epsilon:0.1:mtr,0.198236,,,0.198236
loan1,2,dr,learning_rate:0.03,epsilon:0.1:dr,0.198236,,,0.198236
loan1,2,ips,learning_rate:0.03,epsilon:0.1:ips,0.198336,,,0.198336
loan1,2,mtr,learning_rate:0.03,epsilon:0.1:mtr,0.198256,,,0.198256
loan1,2,dr,learning_rate:0.1,epsilon:0.1:dr,0.198276,,,0.198276
loan1,2,ips,learning_rate:0.1,epsilon:0.1:ips,0.198356,,,0.198356
loan1,2,mtr,learning_rate:0.1,epsilon:0.1:mtr,0.195956,,,0.195956
loan1,2,dr,learning_rate:0.3,epsilon:0.1:dr,0.172117,,,0.172117
loan1,2,ips,learning_rate:0.3,epsilon:0.1:ips,0.185236,,,0.185236
loan1,2,mtr,learning_rate:0.3,epsilon:0.1:mtr,0.161817,,,0.161817
loan1,2,dr,learning_rate:1.0,epsilon:0.1:dr,0.151617,,,0.151617
loan1,2,ips,learning_rate:1.0,epsilon:0.1:ips,0.170997,,,0.170997
loan1,2,mtr,learning_rate:1.0,epsilon:0.1:mtr,0.153237,,,0.153237
loan1,2,dr,learning_rate:3.0,epsilon:0.1:dr,0.159397,,,0.159397
loan1,2,ips,learning_rate:3.0,epsilon:0.1:ips,0.179356,,,0.179356
loan1,2,mtr,learning_rate:3.0,epsilon:0.1:mtr,0.152977,,,0.152977
loan1,2,dr,learning_rate:10.0,epsilon:0.1:dr,0.179236,,,0.179236
loan1,2,ips,learning_rate:10.0,epsilon:0.1:ips,0.205956,,,0.205956
loan1,2,mtr,learning_rate:10.0,epsilon:0.1:mtr,0.155057,,,0.155057
loan1,2,dr,learning_rate:0.001,bag:2:dr,0.160997,,,0.160997
loan1,2,ips,learning_rate:0.001,bag:2:ips,0.157597,,,0.157597
loan1,2,mtr,learning_rate:0.001,bag:2:mtr,0.164937,,,0.164937
loan1,2,dr,learning_rate:0.003,bag:2:dr,0.164217,,,0.164217
loan1,2,ips,learning_rate:0.003,bag:2:ips,0.161957,,,0.161957
loan1,2,mtr,learning_rate:0.003,bag:2:mtr,0.163017,,,0.163017
loan1,2,dr,learning_rate:0.01,bag:2:dr,0.163857,,,0.163857
loan1,2,ips,learning_rate:0.01,bag:2:ips,0.147457,,,0.147457
loan1,2,mtr,learning_rate:0.01,bag:2:mtr,0.163617,,,0.163617
loan1,2,dr,learning_rate:0.03,bag:2:dr,0.163677,,,0.163677
loan1,2,ips,learning_rate:0.03,bag:2:ips,0.150957,,,0.150957
loan1,2,mtr,learning_rate:0.03,bag:2:mtr,0.162917,,,0.162917
loan1,2,dr,learning_rate:0.1,bag:2:dr,0.163717,,,0.163717
loan1,2,ips,learning_rate:0.1,bag:2:ips,0.161257,,,0.161257
loan1,2,mtr,learning_rate:0.1,bag:2:mtr,0.162457,,,0.162457
loan1,2,dr,learning_rate:0.3,bag:2:dr,0.139817,,,0.139817
loan1,2,ips,learning_rate:0.3,bag:2:ips,0.175796,,,0.175796
loan1,2,mtr,learning_rate:0.3,bag:2:mtr,0.163717,,,0.163717
loan1,2,dr,learning_rate:1.0,bag:2:dr,0.121118,,,0.121118
loan1,2,ips,learning_rate:1.0,bag:2:ips,0.201116,,,0.201116
loan1,2,mtr,learning_rate:1.0,bag:2:mtr,0.120258,,,0.120258
