algo,lr,loss
cover:16:psi:0.1:nounif:dr,learning_rate:10.0,0.19951599999999997
cover:16:psi:0.01:nounif:dr,learning_rate:10.0,0.199606
cover:8:psi:0.1:nounif:dr,learning_rate:10.0,0.199706
bag:2:greedify:mtr,learning_rate:0.1,0.19972600000000001
bag:16:dr,learning_rate:0.3,0.199936
cover:4:psi:0.01:nounif:dr,learning_rate:10.0,0.19994099999999998
cover:8:psi:0.1:nounif:mtr,learning_rate:10.0,0.199941
cover:8:psi:0.1:nounif:dr,learning_rate:0.1,0.200321
bag:2:greedify:dr,learning_rate:1.0,0.20033099999999998
bag:8:mtr,learning_rate:0.3,0.200361
cover:4:psi:0.1:nounif:dr,learning_rate:10.0,0.20050600000000002
bag:8:greedify:mtr,learning_rate:0.1,0.20066099999999998
bag:4:mtr,learning_rate:0.3,0.200681
cover:16:psi:0.01:nounif:mtr,learning_rate:10.0,0.200706
cover:8:psi:0.01:nounif:dr,learning_rate:10.0,0.200881
cover:8:psi:0:nounif:mtr,learning_rate:3.0,0.20118599999999998
cover:1:mtr,learning_rate:1.0,0.20141599999999998
epsilon:0.02:mtr,learning_rate:3.0,0.20145599999999997
cover:4:psi:0.01:nounif:mtr,learning_rate:0.03,0.20177099999999998
bag:4:greedify:dr,learning_rate:10.0,0.201796
bag:2:greedify:mtr,learning_rate:0.3,0.202061
epsilon:0.02:mtr,learning_rate:10.0,0.202106
bag:16:dr,learning_rate:0.1,0.202196
cover:8:psi:0.01:nounif:mtr,learning_rate:3.0,0.202256
cover:4:psi:0:nounif:mtr,learning_rate:3.0,0.202341
bag:2:dr,learning_rate:10.0,0.20237099999999997
cover:4:psi:0.01:nounif:mtr,learning_rate:3.0,0.202376
epsilon:0:dr,learning_rate:0.03,0.20275100000000001
cover:1:nounif:dr,learning_rate:0.03,0.20275100000000001
cover:8:psi:0.01:nounif:dr,learning_rate:1.0,0.202856
cover:16:psi:0.01:nounif:dr,learning_rate:1.0,0.20288599999999998
cover:8:psi:0.01:nounif:mtr,learning_rate:1.0,0.20294099999999998
cover:8:psi:0:nounif:dr,learning_rate:0.03,0.202951
cover:16:psi:0.01:nounif:mtr,learning_rate:1.0,0.20295599999999997
cover:16:psi:0:nounif:dr,learning_rate:0.03,0.202961
cover:4:psi:0.01:nounif:mtr,learning_rate:1.0,0.20301599999999997
epsilon:0:mtr,learning_rate:1.0,0.203026
cover:1:nounif:mtr,learning_rate:1.0,0.203026
cover:8:psi:0.1:nounif:mtr,learning_rate:1.0,0.20306599999999997
cover:4:psi:0.1:nounif:mtr,learning_rate:1.0,0.203106
cover:8:psi:0.01:nounif:mtr,learning_rate:0.1,0.20311099999999999
cover:8:psi:0:nounif:dr,learning_rate:1.0,0.20315099999999997
cover:1:nounif:dr,learning_rate:1.0,0.20315099999999997
cover:16:psi:0:nounif:dr,learning_rate:1.0,0.20315099999999997
epsilon:0:dr,learning_rate:1.0,0.20315099999999997
cover:4:psi:0:nounif:dr,learning_rate:1.0,0.20315099999999997
cover:16:psi:0:nounif:mtr,learning_rate:1.0,0.20321100000000003
cover:8:psi:0:nounif:mtr,learning_rate:1.0,0.20322600000000002
cover:4:psi:0.1:nounif:mtr,learning_rate:0.3,0.203346
bag:4:dr,learning_rate:10.0,0.203451
cover:4:psi:0:nounif:mtr,learning_rate:0.3,0.20349099999999998
cover:16:psi:0.01:nounif:mtr,learning_rate:0.3,0.203566
cover:1:nounif:dr,learning_rate:0.3,0.20358600000000002
cover:4:psi:0:nounif:dr,learning_rate:0.3,0.20358600000000002
epsilon:0:dr,learning_rate:0.3,0.20358600000000002
cover:8:psi:0:nounif:dr,learning_rate:0.3,0.203616
cover:16:psi:0:nounif:dr,learning_rate:0.3,0.203616
cover:4:psi:0.01:nounif:dr,learning_rate:0.3,0.203621
cover:16:psi:0.1:nounif:mtr,learning_rate:0.3,0.203646
cover:16:psi:0.01:nounif:dr,learning_rate:0.3,0.203651
cover:8:psi:0.01:nounif:dr,learning_rate:0.3,0.20368099999999997
cover:8:psi:0.1:nounif:mtr,learning_rate:0.3,0.203736
cover:4:psi:0.01:nounif:mtr,learning_rate:0.3,0.203781
cover:4:psi:0.1:nounif:dr,learning_rate:0.3,0.203861
cover:16:psi:0.1:nounif:dr,learning_rate:0.3,0.20392599999999997
cover:8:psi:0.1:nounif:dr,learning_rate:0.3,0.20392599999999997
cover:8:psi:0.01:nounif:mtr,learning_rate:0.3,0.20402599999999999
cover:16:psi:0.1:nounif:mtr,learning_rate:0.03,0.204386
bag:8:greedify:dr,learning_rate:0.3,0.204461
cover:4:psi:0:nounif:dr,learning_rate:0.003,0.20453100000000002
epsilon:0:mtr,learning_rate:0.03,0.204616
cover:1:nounif:mtr,learning_rate:0.03,0.204616
cover:8:psi:0.01:nounif:dr,learning_rate:0.1,0.20461600000000002
bag:8:greedify:dr,learning_rate:10.0,0.20475075
bag:8:dr,learning_rate:0.3,0.204816
bag:16:mtr,learning_rate:0.1,0.204826
cover:4:psi:0:nounif:dr,learning_rate:0.01,0.204841
epsilon:0:dr,learning_rate:0.003,0.204871
cover:1:nounif:dr,learning_rate:0.003,0.204871
cover:4:psi:0.01:nounif:dr,learning_rate:0.03,0.204891
cover:8:psi:0:nounif:mtr,learning_rate:0.3,0.20496599999999998
cover:16:psi:0:nounif:mtr,learning_rate:0.3,0.20499099999999998
cover:4:psi:0:nounif:dr,learning_rate:0.03,0.205046
cover:8:psi:0:nounif:dr,learning_rate:0.01,0.205051
epsilon:0:dr,learning_rate:0.01,0.205091
cover:1:nounif:dr,learning_rate:0.01,0.205091
cover:8:psi:0:nounif:dr,learning_rate:0.003,0.20513099999999998
cover:4:psi:0.1:nounif:mtr,learning_rate:0.03,0.20517600000000003
cover:4:psi:0.1:nounif:mtr,learning_rate:0.1,0.205291
cover:8:psi:0.1:nounif:mtr,learning_rate:0.03,0.20536100000000002
bag:8:greedify:mtr,learning_rate:0.3,0.205366
cover:4:psi:0.01:nounif:mtr,learning_rate:0.1,0.20538099999999998
bag:4:greedify:dr,learning_rate:0.3,0.205391
bag:8:dr,learning_rate:10.0,0.20541575
cover:16:psi:0:nounif:dr,learning_rate:0.01,0.20544600000000002
bag:16:greedify:mtr,learning_rate:0.3,0.205481
cover:16:psi:0.1:nounif:dr,learning_rate:0.1,0.205576
cover:16:psi:0:nounif:dr,learning_rate:0.003,0.205581
cover:1:nounif:mtr,learning_rate:0.01,0.20607599999999998
epsilon:0:mtr,learning_rate:0.01,0.20607599999999998
cover:16:psi:0.1:nounif:dr,learning_rate:0.03,0.20610099999999998
bag:2:mtr,learning_rate:0.3,0.206201
bag:2:greedify:mtr,learning_rate:0.03,0.206246
bag:8:dr,learning_rate:0.1,0.20646599999999998
bag:4:greedify:mtr,learning_rate:0.1,0.20655099999999998
bag:2:greedify:dr,learning_rate:0.01,0.20657099999999998
cover:8:psi:0.01:nounif:dr,learning_rate:0.01,0.206606
bag:2:greedify:dr,learning_rate:0.03,0.20671099999999998
cover:16:psi:0.1:nounif:mtr,learning_rate:0.1,0.206761
bag:2:greedify:dr,learning_rate:0.1,0.20677600000000002
cover:16:psi:0.01:nounif:dr,learning_rate:0.01,0.206851
cover:4:psi:0.01:nounif:dr,learning_rate:0.01,0.206871
bag:4:greedify:dr,learning_rate:0.1,0.20689599999999997
cover:4:psi:0.1:nounif:dr,learning_rate:0.03,0.207076
cover:8:psi:0.1:nounif:dr,learning_rate:0.03,0.20711100000000002
cover:4:psi:0:nounif:dr,learning_rate:0.001,0.20728575
cover:16:psi:0.01:nounif:mtr,learning_rate:0.1,0.207486
cover:1:nounif:dr,learning_rate:0.001,0.20757575
epsilon:0:dr,learning_rate:0.001,0.20757575
cover:8:psi:0.01:nounif:dr,learning_rate:0.03,0.207586
cover:4:psi:0:nounif:mtr,learning_rate:0.01,0.207601
bag:8:mtr,learning_rate:0.1,0.207901
epsilon:0:mtr,learning_rate:0.3,0.207941
cover:1:nounif:mtr,learning_rate:0.3,0.207941
bag:2:greedify:mtr,learning_rate:0.01,0.208281
bag:2:mtr,learning_rate:0.1,0.208351
bag:2:greedify:dr,learning_rate:0.003,0.208351
bag:2:dr,learning_rate:0.1,0.208446
cover:4:psi:0.01:nounif:dr,learning_rate:0.003,0.208476
cover:4:psi:0.01:nounif:mtr,learning_rate:0.01,0.20847600000000002
cover:8:psi:0:nounif:dr,learning_rate:0.001,0.20862075
bag:4:mtr,learning_rate:0.03,0.208766
cover:8:psi:0.01:nounif:dr,learning_rate:0.003,0.208786
bag:16:dr,learning_rate:10.0,0.20898049999999999
epsilon:0.02:mtr,learning_rate:1.0,0.2089855
bag:4:greedify:mtr,learning_rate:0.03,0.20908100000000002
bag:16:greedify:dr,learning_rate:10.0,0.2091555
bag:16:greedify:dr,learning_rate:0.03,0.209221
cover:4:psi:0:nounif:mtr,learning_rate:0.03,0.209386
cover:16:psi:0.01:nounif:dr,learning_rate:0.03,0.209416
bag:2:mtr,learning_rate:0.01,0.209646
bag:4:greedify:dr,learning_rate:0.01,0.20966599999999996
cover:4:psi:1.0:nounif:dr,learning_rate:1.0,0.20968574999999998
bag:2:mtr,learning_rate:0.03,0.210121
bag:16:greedify:mtr,learning_rate:0.1,0.210131
supervised,learning_rate:0.1,0.210256
epsilon:0:mtr,learning_rate:0.003,0.21027600000000002
cover:1:nounif:mtr,learning_rate:0.003,0.21027600000000002
cover:16:psi:0:nounif:dr,learning_rate:0.001,0.21062575
bag:8:greedify:dr,learning_rate:0.1,0.210646
cover:8:psi:0:nounif:mtr,learning_rate:0.01,0.211241
cover:4:psi:0.1:nounif:mtr,learning_rate:0.01,0.211331
cover:8:psi:0.01:nounif:mtr,learning_rate:0.01,0.211571
bag:8:greedify:mtr,learning_rate:0.03,0.211651
cover:4:psi:0.1:nounif:dr,learning_rate:0.01,0.21170100000000003
bag:4:mtr,learning_rate:0.1,0.21185600000000002
bag:16:greedify:ips,learning_rate:0.01,0.21189575
bag:8:dr,learning_rate:0.03,0.212061
bag:2:dr,learning_rate:0.01,0.212061
supervised,learning_rate:10.0,0.21227075
cover:4:psi:0.01:mtr,learning_rate:0.3,0.21258075
cover:4:psi:0:mtr,learning_rate:0.3,0.21260075
cover:4:psi:0.1:mtr,learning_rate:0.3,0.21264075000000002
bag:8:mtr,learning_rate:0.03,0.212851
cover:8:psi:0:mtr,learning_rate:0.3,0.21287075
cover:16:psi:0:nounif:mtr,learning_rate:0.01,0.213021
bag:2:dr,learning_rate:0.001,0.21309100000000003
cover:8:psi:0.01:mtr,learning_rate:0.3,0.21315075
bag:2:dr,learning_rate:0.003,0.21321600000000002
cover:8:psi:0.1:nounif:mtr,learning_rate:0.01,0.213306
cover:4:psi:0.01:nounif:mtr,learning_rate:0.003,0.21348599999999998
cover:16:psi:0.1:mtr,learning_rate:0.3,0.21361075000000002
epsilon:0.05:mtr,learning_rate:10.0,0.2136205
bag:16:ips,learning_rate:0.03,0.21365050000000002
bag:8:mtr,learning_rate:0.01,0.213656
bag:16:greedify:ips,learning_rate:0.03,0.2136755
cover:4:psi:0:nounif:mtr,learning_rate:0.003,0.214006
cover:8:psi:0.1:nounif:dr,learning_rate:0.01,0.214086
bag:8:ips,learning_rate:0.01,0.2142155
cover:8:psi:0.01:nounif:mtr,learning_rate:0.03,0.214216
bag:4:greedify:mtr,learning_rate:0.01,0.214226
cover:8:psi:0.1:mtr,learning_rate:0.3,0.21430074999999998
cover:8:psi:0.1:dr,learning_rate:0.3,0.21433575
cover:4:psi:0.01:dr,learning_rate:0.3,0.21439075
cover:16:psi:0.01:nounif:mtr,learning_rate:0.01,0.214536
cover:16:psi:0:mtr,learning_rate:0.3,0.21455575000000002
cover:16:psi:0.01:mtr,learning_rate:0.3,0.21457075000000003
cover:16:psi:0.01:dr,learning_rate:0.3,0.21459575
epsilon:0.05:dr,learning_rate:0.3,0.21460075
bag:16:ips,learning_rate:0.1,0.2146705
cover:8:psi:0:dr,learning_rate:0.3,0.21475574999999997
bag:16:ips,learning_rate:0.01,0.21477049999999998
cover:4:psi:0:dr,learning_rate:0.3,0.21478575
cover:16:psi:0.1:dr,learning_rate:0.3,0.21480574999999996
cover:16:psi:0:dr,learning_rate:0.3,0.21481075
cover:1:dr,learning_rate:0.3,0.21483074999999996
epsilon:0.05:mtr,learning_rate:3.0,0.2149155
bag:4:greedify:dr,learning_rate:0.003,0.214996
cover:4:psi:0.1:dr,learning_rate:0.3,0.21505575
bag:8:greedify:ips,learning_rate:0.01,0.2150705
cover:8:psi:0:nounif:mtr,learning_rate:0.03,0.21526075
bag:4:mtr,learning_rate:0.01,0.21534575000000003
cover:8:psi:0.01:dr,learning_rate:0.3,0.21535575
cover:8:psi:0.01:nounif:mtr,learning_rate:0.003,0.215496
bag:8:greedify:dr,learning_rate:0.01,0.21563575000000001
bag:16:greedify:ips,learning_rate:0.1,0.2158605
epsilon:0.02:ips,learning_rate:0.3,0.215866
bag:2:greedify:dr,learning_rate:0.001,0.21589600000000003
bag:2:greedify:mtr,learning_rate:0.003,0.21624074999999998
cover:8:psi:0.01:nounif:ips,learning_rate:0.003,0.21636575
bag:8:ips,learning_rate:0.003,0.2163755
bag:8:greedify:ips,learning_rate:0.003,0.21639550000000002
bag:2:mtr,learning_rate:0.003,0.21659574999999998
cover:16:psi:0.01:nounif:dr,learning_rate:0.003,0.21660075
epsilon:0.02:mtr,learning_rate:0.3,0.2166205
bag:2:dr,learning_rate:0.03,0.21665075
bag:8:greedify:ips,learning_rate:0.03,0.2167755
bag:8:mtr,learning_rate:0.003,0.21677575
cover:16:psi:0.1:dr,learning_rate:0.1,0.216816
cover:1:mtr,learning_rate:0.3,0.2168405
cover:4:psi:0.1:mtr,learning_rate:0.1,0.21684599999999998
cover:4:psi:0.1:dr,learning_rate:0.1,0.216846
cover:4:psi:0:mtr,learning_rate:1.0,0.21692050000000002
bag:4:dr,learning_rate:0.003,0.21695075000000003
cover:4:psi:0.1:nounif:mtr,learning_rate:0.003,0.21698075
cover:8:psi:0.1:dr,learning_rate:0.1,0.21703099999999997
cover:8:psi:0.1:mtr,learning_rate:0.1,0.217086
cover:4:psi:0.1:nounif:dr,learning_rate:0.003,0.21721574999999999
bag:8:ips,learning_rate:0.03,0.21722050000000004
cover:16:psi:0.1:mtr,learning_rate:0.1,0.217266
cover:16:psi:0.1:nounif:dr,learning_rate:0.01,0.21731575000000003
bag:4:dr,learning_rate:0.03,0.21735575
cover:16:psi:0.01:nounif:ips,learning_rate:0.003,0.21751575
cover:4:psi:0.01:mtr,learning_rate:1.0,0.2175855
bag:16:greedify:ips,learning_rate:0.003,0.21760575000000001
epsilon:0.02:dr,learning_rate:0.3,0.21765600000000002
cover:16:psi:0.1:nounif:mtr,learning_rate:0.01,0.21766575
bag:16:ips,learning_rate:0.003,0.21778575
bag:8:greedify:mtr,learning_rate:0.003,0.21784075
bag:8:greedify:mtr,learning_rate:0.01,0.21792075
bag:16:greedify:mtr,learning_rate:0.01,0.21809075
bag:4:mtr,learning_rate:0.003,0.21811575
cover:16:psi:0.01:mtr,learning_rate:0.1,0.21812575
bag:4:greedify:mtr,learning_rate:0.003,0.21816075000000001
cover:8:psi:0.1:nounif:mtr,learning_rate:0.003,0.21825075
cover:4:psi:0.01:mtr,learning_rate:0.1,0.218251
cover:16:psi:0.01:dr,learning_rate:0.1,0.21826075
epsilon:0.05:mtr,learning_rate:0.3,0.2182905
cover:8:psi:0.01:dr,learning_rate:0.1,0.21830075
cover:8:psi:0.01:mtr,learning_rate:0.1,0.21832075
cover:16:psi:0:mtr,learning_rate:0.1,0.21833575000000002
cover:4:psi:1.0:nounif:mtr,learning_rate:3.0,0.21838049999999998
cover:4:psi:0.01:nounif:dr,learning_rate:0.001,0.21841575
cover:4:psi:0:mtr,learning_rate:0.1,0.21842099999999998
cover:4:psi:0.01:dr,learning_rate:0.1,0.21850074999999997
cover:8:psi:0.1:nounif:dr,learning_rate:0.003,0.21852074999999999
cover:4:psi:0.01:nounif:ips,learning_rate:0.003,0.21855049999999998
