,ds,na,cb_type,lr,algo,loss,sz,nf,rawloss
10717,8,2,mtr,learning_rate:0.03,cover:4:psi:0.01:mtr,0.081159,345,6,0.081159
10437,8,2,ips,learning_rate:0.001,bag:2:ips,0.028986,345,6,0.028986
4737,16,10,dr,learning_rate:3.0,cover:4:psi:1.0:nounif:dr,0.857,2000,64,0.857
7957,21,4,mtr,learning_rate:0.003,cover:8:psi:0.01:nounif:mtr,0.229167,1728,6,0.229167
9427,6,26,mtr,learning_rate:10.0,epsilon:0.05:mtr,0.78915,20000,16,0.78915
7948,21,4,mtr,learning_rate:3.0,cover:8:psi:0.01:mtr,0.216435,1728,6,0.216435
3481,14,10,ips,learning_rate:0.3,cover:1:nounif:ips,0.882,2000,76,0.882
9211,3,2,mtr,learning_rate:0.3,cover:16:psi:0.01:nounif:mtr,0.197747,3196,36,0.197747
9801,6,26,ips,learning_rate:3.0,cover:4:psi:0.1:ips,0.9283,20000,16,0.9283
1091,11,3,mtr,learning_rate:1.0,epsilon:0.02:mtr,0.16,625,4,0.16
6484,20,10,mtr,learning_rate:10.0,bag:2:greedify:mtr,0.728,2000,240,0.728
3031,12,10,ips,learning_rate:0.01,cover:16:psi:0.1:nounif:ips,0.6885,2000,216,0.6885
605,10,4,mtr,learning_rate:0.03,cover:8:psi:0:mtr,0.290541,148,18,0.290541
5613,18,10,dr,learning_rate:10.0,cover:4:psi:0:nounif:dr,0.724,2000,6,0.724
8074,21,4,mtr,learning_rate:0.1,cover:8:psi:1.0:nounif:mtr,0.396412,1728,6,0.396412
10178,6,26,dr,learning_rate:3.0,cover:16:psi:0.01:dr,0.93025,20000,16,0.93025
3675,14,10,dr,learning_rate:3.0,cover:4:psi:1.0:dr,0.8825,2000,76,0.8825
4467,16,10,dr,learning_rate:3.0,bag:16:greedify:dr,0.875,2000,64,0.875
7198,20,10,mtr,learning_rate:0.03,cover:16:psi:0.1:nounif:mtr,0.7975,2000,240,0.7975
2555,12,10,mtr,learning_rate:0.3,cover:4:psi:0.01:nounif:mtr,0.691,2000,216,0.691
7862,21,4,dr,learning_rate:1.0,cover:4:psi:1.0:nounif:dr,0.123264,1728,6,0.123264
2125,12,10,ips,learning_rate:1.0,epsilon:0.02:ips,0.7225,2000,216,0.7225
5869,18,10,ips,learning_rate:0.03,cover:8:psi:0.01:nounif:ips,0.7935,2000,6,0.7935
9150,3,2,ips,learning_rate:0.03,cover:16:psi:0:nounif:ips,0.171464,3196,36,0.171464
6670,20,10,mtr,learning_rate:3.0,cover:4:psi:0:nounif:mtr,0.783,2000,240,0.783
7016,20,10,dr,learning_rate:1.0,cover:8:psi:1.0:dr,0.75,2000,240,0.75
6828,20,10,ips,learning_rate:1.0,cover:4:psi:1.0:nounif:ips,0.8345,2000,240,0.8345
11170,8,2,mtr,learning_rate:0.003,cover:16:psi:0.01:nounif:mtr,0.02029,345,6,0.02029
7194,20,10,ips,learning_rate:0.01,cover:16:psi:0.1:nounif:ips,0.7705,2000,240,0.7705
8829,3,2,ips,learning_rate:0.1,cover:4:psi:0.1:nounif:ips,0.191176,3196,36,0.191176
8652,3,2,ips,learning_rate:10.0,cover:1:ips,0.253129,3196,36,0.253129
8407,3,2,mtr,learning_rate:3.0,epsilon:0.1:mtr,0.227472,3196,36,0.227472
10826,8,2,dr,learning_rate:0.1,cover:4:psi:1.0:dr,0.095652,345,6,0.095652
1999,11,3,ips,learning_rate:0.03,cover:16:psi:0.1:nounif:ips,0.2432,625,4,0.2432
7724,21,4,dr,learning_rate:0.3,cover:4:psi:0.01:dr,0.183449,1728,6,0.183449
3752,14,10,mtr,learning_rate:0.3,cover:8:psi:0:nounif:mtr,0.879,2000,76,0.879
5478,18,10,dr,learning_rate:10.0,bag:8:greedify:dr,0.6805,2000,6,0.6805
10046,6,26,dr,learning_rate:10.0,cover:8:psi:0.1:nounif:dr,0.78055,20000,16,0.78055
1444,11,3,ips,learning_rate:3.0,cover:4:psi:0:ips,0.2368,625,4,0.2368
4606,16,10,ips,learning_rate:10.0,cover:4:psi:0.01:ips,0.882,2000,64,0.882
469,10,4,ips,learning_rate:0.03,cover:4:psi:0.01:nounif:ips,0.182432,148,18,0.182432
1658,11,3,mtr,learning_rate:1.0,cover:8:psi:0:mtr,0.2448,625,4,0.2448
5651,18,10,mtr,learning_rate:0.01,cover:4:psi:0.01:nounif:mtr,0.8335,2000,6,0.8335
4824,16,10,dr,learning_rate:0.001,cover:8:psi:0.01:nounif:dr,0.899,2000,64,0.899
2988,12,10,dr,learning_rate:1.0,cover:16:psi:0.01:nounif:dr,0.475,2000,216,0.475
7399,21,4,mtr,learning_rate:0.1,bag:2:mtr,0.095486,1728,6,0.095486
10632,8,2,ips,learning_rate:0.01,bag:16:greedify:ips,0.081159,345,6,0.081159
7183,20,10,mtr,learning_rate:3.0,cover:16:psi:0.1:mtr,0.7775,2000,240,0.7775
9747,6,26,ips,learning_rate:3.0,cover:4:psi:0.01:ips,0.9369,20000,16,0.9369
2186,12,10,mtr,learning_rate:10.0,epsilon:0.1:mtr,0.478,2000,216,0.478
6071,18,10,mtr,learning_rate:3.0,cover:16:psi:0.01:mtr,0.8615,2000,6,0.8615
7530,21,4,ips,learning_rate:0.03,bag:4:greedify:ips,0.194444,1728,6,0.194444
10484,8,2,dr,learning_rate:3.0,bag:4:dr,0.031884,345,6,0.031884
1169,11,3,mtr,learning_rate:0.3,bag:2:mtr,0.112,625,4,0.112
5396,18,10,mtr,learning_rate:3.0,bag:16:mtr,0.6425,2000,6,0.6425
10125,6,26,ips,learning_rate:3.0,cover:16:psi:0:ips,0.9375,20000,16,0.9375
